grant_id,name_std,acreage,year,county_text,raw_entry
GRAY_1_0,2-1: Henry Lewis,160.0,1694.0,,"2-1: Henry Lewis 160 A. [part missing] adj. William Perce, Luke Thornton, Col.
John Walker. 1 Oct. 1694."
GRAY_1_1,2-2: Rice Hoe & Thomas Gilson,1100.0,1694.0,Stafford,"2-2: Rice Hoe & Thomas Gilson, 1100 A. in Stafford Co. on Dodson's Cr. Wrnt. to
Mr. William Horton 1 Oct. 1694. Adj. Jonah , Mr. Fra. Dade, Thomas Howard,
Capt. Robert » Orphans of Brent, Mr. Townsend, land of said Rivett. 1
Oct. 1694. [Sections missing]."
GRAY_1_2,2-3: Richard Burk,110.0,1694.0,Rappahannock,"2-3: Richard Burk of Rappahannock Co. died seized of 110 A. in said Co. bought
of Matthew Kelly who bought of Henry Reynolds, who bought of Morgan Joines, by
Rappahanock alias Richmond records. Grant to Evan Thomas for 110 A. in Richmond
Co. on Rappahannock Cr., Nomanie R., adj. Leonard Dosen and Thomas Dickeson,
John Essex. 1 Oct. 1694."
GRAY_1_4,2-4: Mr,195.0,1694.0,Stafford,"2-4: Mr. Joseph Henson 195 A. in Stafford Co. on Potowmack Cr. Wrnt. to Mr.
Theodorick Bland to surv. 2 Oct. 1694. On Reedy Br., adj. Mr. Theodorick Bland,
Thomas Meridith. 2 Oct. 1694."
GRAY_1_5,2-5: Oliver Littlejohn,200.0,1694.0,Stafford,"2-5: Oliver Littlejohn 200 A. in Stafford Co. on Dodson's Cr. Wrnt. Oct. 1694
to Mr. Theodorick Bland. [Most of deed missing.]"
GRAY_1_7,2-6: Benjamin Coleclough,150.0,1694.0,Stafford,"2-6: Benjamin Coleclough 150 A. in Stafford Co. near Dodsons Cr. Wrnt. 2 Oct.
1694. Mr. Theoderick Bland to surv. Adj. John Story, Dowding's line, Mr. Rice
Hoe. 2 Oct. 1694."
GRAY_1_8,2-7: Augustine Kneaton,327.0,1694.0,Stafford,"2-7: Augustine Kneaton 327 A. on Austins Run & Rocky Run in Stafford Co. Wrnt.
to Mr. Bland 2 Oct. 1694 to surv. Adj. tract of Kneaton. 2 Oct. 1694."
GRAY_1_9,2-8: Robert Brent,200.0,1694.0,Westmoreland,"2-8: Robert Brent of Stafford Co. 200 A. in Westmoreland Co. Land formerly
Thomas Dickeson's who died without heir. Land Escheats being part of 1400 A.
sold by Col. William Loyde to Morgan Jones who sold to Dickeson. 2 Oct. 1694."
GRAY_1_12,2-10: Ann Walters,200.0,1694.0,Stafford,"2-10: Ann Walters 200 A. in Stafford Co. near Dodsons Cr. Wrnt. to Mr. Bland
to surv. 2 Oct. 1694. Adj. Oliver Littlejohn, near Dodsons bridge, Townsends
(Townshand) line, Dowding's (Dowing) line, Benjamin Cockeley, Coleclough's line,
Mr. Rice Hoe. 2 Oct. 1694.Will 26 Mar. 1658 devised to his son, Edmund Brent a minor, who by Rebecca his
guardian & Mother, entered the Premises. He died - land descended to Katharine
Brent only sister to Edmund the son, who died in her minority without disposing.
Rebecca, wid. of Edmund the father and mother of Edmund & Katharine, entered an
Escheat, and possessed same until John Baldaroe of London eldest son of Margaret
Baldaroe, only sister of Edmund, the father, about 1670, proved himself heir.
He brought account against Rebecca and her then husband John Fradesham for the
premises. Balderoe having houses and land in Fleet Street in London, descended
to him as heir to his cosens(sic), Edmund and Katharine Brent gave Rebecca her
third part of her husband's estate in England due her for her dower, Rebecca and
John Fradesham gave possession to Balderoe 9 June 1673. Balderoe died without
child, or disposing by will. Inheritance descended to Arthur Balderoe of London,
Stationer, bro. to John. His Att'y George Brent of Woodstock in Stafford Co.
Gent. in right of Arthur Balderoe, possessed same since 1676. Arthur Balderoe
died without heir. Brent did 30 July 1691 present to our office, kept by Mr.
Richard Whitehead Clk that land did escheat. Brent obtained Grant of 1050 A. in
Westmoreland Co. on Nomanie R. adj. Lewis Burwell dec'd, but Original Patent
granted Rosier was in possession of Capt. Robert Henfeild. Brent now in
possession by his tenant Morgan Williams. 1 Oct. 1694."
GRAY_1_13,2-14: Philip Ludwell Esq,996.0,1694.0,Stafford,"2-14: Philip Ludwell Esq. our Agt. in 1690 did grant Lt. Col. William Fitzhugh
21,996 A. in Stafford Co. on Potowmack surv'd 28 Apr. 1694 by Samuel Wye. Mr.
Thomas Kerton then Agt. John Matthews sold to Fitzhugh, 22 Aug. 1685 and
acknowledged in Stafford Ct. 19 Sept. next following. Conveyance lost, by Mr.
Richard Whitehead's account, Clk under our Agent, Col. Fitzhugh renewed his
Grant. On Accotinke and Mussell Cr., Four Mile Cr., Pohick Run. 1 Oct. 1694."
